size,N,threads,iterations,time,speedup,efficiency
128x128,128,8,190,0.020217715,0.7733589082643612,0.09666986353304514
128x128,128,9,190,0.02186495,0.7150965357798668,0.07945517064220742
128x128,128,10,190,0.0235217825,0.6647264083833782,0.06647264083833782
128x128,128,11,190,0.024583755,0.6360114636677757,0.057819223969797794
128x128,128,12,190,0.02726078,0.57355475521977,0.0477962296016475
192x192,192,1,190,0.0345499525,1.0,1.0
192x192,192,2,190,0.022562982500000002,1.5312670875847196,0.7656335437923598
192x192,192,3,190,0.01844674,1.8729570916053462,0.6243190305351154
192x192,192,4,190,0.018440965,1.8735436296310959,0.46838590740777397
192x192,192,5,190,0.0222212075,1.5548188594161683,0.31096377188323365
192x192,192,6,190,0.0207930225,1.6616128078541732,0.2769354679756955
192x192,192,7,190,0.028616785,1.2073317285641976,0.1724759612234568
192x192,192,8,190,0.028031229999999997,1.2325521391676357,0.15406901739595447
192x192,192,9,190,0.0277673025,1.2442675157228542,0.13825194619142825
192x192,192,10,190,0.029847085000000002,1.1575653870386338,0.11575653870386338
192x192,192,11,190,0.029360235000000002,1.1767600804285114,0.10697818912986468
192x192,192,12,190,0.0305417775,1.131235812977814,0.0942696510814845
256x256,256,1,190,0.061309037499999997,1.0,1.0
256x256,256,2,190,0.0380706775,1.610400484730013,0.8052002423650065
256x256,256,3,190,0.0290990475,2.1069087398822934,0.7023029132940978
256x256,256,4,190,0.026650725,2.300464152476152,0.575116038119038
256x256,256,5,190,0.0257896175,2.377275952231552,0.47545519044631035
256x256,256,6,190,0.02618843,2.341073424409176,0.390178904068196
256x256,256,7,190,0.03003371,2.0413407967247466,0.29162011381782094
256x256,256,8,190,0.0316829675,1.9350787611671791,0.2418848451458974
256x256,256,9,190,0.0335504425,1.8273689683824588,0.20304099648693985
256x256,256,10,190,0.032892525,1.8639200699855059,0.18639200699855057
256x256,256,11,190,0.033305705,1.8407968694852728,0.1673451699532066
256x256,256,12,190,0.0339784625,1.804349961390984,0.15036249678258198
